parasite_no,mate_status
5,non_mated
3,non_mated
4,non_mated
4,non_mated
6,non_mated
1,non_mated
3,non_mated
4,non_mated
1,non_mated
4,non_mated
3,non_mated
2,non_mated
6,non_mated
1,non_mated
4,non_mated
10,non_mated
1,non_mated
1,non_mated
2,non_mated
2,non_mated
9,non_mated
5,non_mated
7,non_mated
2,non_mated
2,non_mated
2,non_mated
5,non_mated
5,non_mated
3,non_mated
1,non_mated
3,non_mated
8,non_mated
3,non_mated
1,non_mated
9,non_mated
3,non_mated
4,non_mated
5,non_mated
4,non_mated
4,non_mated
2,non_mated
4,non_mated
1,non_mated
1,non_mated
6,non_mated
1,non_mated
2,non_mated
4,non_mated
7,non_mated
1,non_mated
3,non_mated
1,non_mated
3,non_mated
2,non_mated
2,non_mated
3,non_mated
5,non_mated
4,non_mated
2,non_mated
1,non_mated
4,non_mated
7,non_mated
1,non_mated
3,non_mated
1,non_mated
5,non_mated
4,non_mated
2,non_mated
2,non_mated
1,non_mated
4,non_mated
1,non_mated
3,non_mated
1,non_mated
1,non_mated
2,non_mated
6,non_mated
13,non_mated
2,non_mated
5,non_mated
7,non_mated
3,non_mated
3,non_mated
1,non_mated
1,non_mated
4,non_mated
2,non_mated
2,non_mated
2,non_mated
4,non_mated
1,non_mated
5,non_mated
5,non_mated
5,non_mated
1,non_mated
10,non_mated
4,non_mated
2,non_mated
4,non_mated
3,non_mated
1,non_mated
1,non_mated
6,non_mated
3,non_mated
6,non_mated
1,non_mated
1,non_mated
1,non_mated
1,non_mated
5,non_mated
8,non_mated
2,non_mated
6,non_mated
2,non_mated
4,non_mated
1,non_mated
2,non_mated
9,non_mated
4,non_mated
5,non_mated
9,non_mated
1,non_mated
3,non_mated
7,non_mated
6,non_mated
1,non_mated
3,non_mated
1,non_mated
6,non_mated
4,non_mated
4,non_mated
2,non_mated
3,non_mated
3,non_mated
3,non_mated
6,non_mated
1,non_mated
6,non_mated
2,non_mated
8,non_mated
7,non_mated
2,non_mated
2,non_mated
1,non_mated
1,non_mated
4,non_mated
1,non_mated
1,non_mated
6,non_mated
3,non_mated
8,non_mated
1,non_mated
1,non_mated
3,non_mated
2,non_mated
1,non_mated
1,non_mated
1,non_mated
3,non_mated
4,non_mated
2,non_mated
3,non_mated
4,non_mated
4,non_mated
2,non_mated
4,non_mated
1,non_mated
6,non_mated
6,non_mated
2,non_mated
4,non_mated
4,non_mated
2,non_mated
5,non_mated
1,non_mated
4,non_mated
6,non_mated
3,non_mated
2,non_mated
5,non_mated
4,non_mated
5,non_mated
2,non_mated
3,non_mated
2,non_mated
8,non_mated
3,non_mated
2,non_mated
2,non_mated
1,non_mated
3,non_mated
10,non_mated
2,non_mated
2,non_mated
4,non_mated
3,non_mated
2,non_mated
2,non_mated
1,non_mated
6,non_mated
4,non_mated
4,non_mated
1,non_mated
1,non_mated
1,non_mated
1,non_mated
7,non_mated
3,non_mated
1,non_mated
3,non_mated
1,non_mated
4,non_mated
6,non_mated
4,non_mated
3,non_mated
8,non_mated
4,non_mated
2,non_mated
4,non_mated
4,non_mated
4,non_mated
4,non_mated
2,non_mated
2,non_mated
1,non_mated
5,non_mated
1,non_mated
4,non_mated
5,non_mated
4,non_mated
4,non_mated
3,non_mated
1,non_mated
4,non_mated
1,non_mated
2,non_mated
2,mated
4,mated
1,mated
3,mated
9,mated
2,mated
8,mated
2,mated
3,mated
4,mated
5,mated
1,mated
2,mated
1,mated
3,mated
5,mated
2,mated
2,mated
3,mated
1,mated
2,mated
2,mated
4,mated
3,mated
5,mated
8,mated
12,mated
5,mated
7,mated
2,mated
1,mated